example,time_sampling,time_training,time_Z3,result,lastPhase,
72,659.314,909.048,3541.929,5.488,Y,S
73,1846.994,227.143,999.181,5.642,Y,S
74,1244.357,1074.363,13440.524,6.459,T,T
75,814.633999999999,2277.383,8404.09800000001,5.771,T,T
78,2396.35200000001,3278.541,41140.653,6.107,T,T
79,172.334,685.085,2186.708,7.367,N,T
80,2288.57800000001,3548.404,35636.126,5.8,T,T
81,600.903999999999,1383.212,4300.048,5.651,T,T
82,7344.63100000002,10463.302,51585.6259999999,5.444,T,T
83,444.375,242.126,1085.289,6.231,Y,S
84,724.661999999998,1979.003,8247.374,5.897,T,T
85,2756.83000000001,2592.588,26161.681,5.873,T,T
86,2969.057,3701.394,28920.451,5.577,T,T
87,298.223,762.819,1546.468,6.692,N,T
88,2236.567,2302.065,25776.547,5.439,T,T
89,475.758,795.524999999999,3242.405,6.869,N,T
90,516.33,794.987,3198.502,6.846,N,T
93,691.355999999999,1055.915,10639.232,5.58,T,T
94,991.710000000002,1296.878,12454.878,5.705,T,T
95,480.474000000001,855.82,4084.08,6.97,N,T
96,2625.82899999999,4098.57100000001,51551.3259999999,5.577,T,T
97,607.717,1442.007,5150.249,5.586,T,T
98,4815.863,6453.35100000001,54146.856,5.836,T,T
99,2704.397,2190.905,24962.45,5.774,T,T
100,8836.95699999993,8194.91500000001,276446.118,6.049,T,T
101,1589.409,373.861,6512.881,5.77,T,T
102,2955.87200000001,4294.29599999999,52257.443,5.755,T,T
103,2657.21399999999,4128.77699999999,51428.355,5.725,T,T
104,461.921,255.8,7783.66099999999,6.264,T,T
105,1099.747,1821.316,8638.887,5.47,T,T
106,2237.20499999999,3869.78499999999,54581.103,5.761,T,T
107,6544.32300000001,6009.717,230452.255,6.615,T,T
108,1157.334,1233.993,35595.276,5.88,T,T
109,3284.035,4183.635,35620.1869999999,5.638,T,T
112,205.081,934.512000000001,2423.002,5.815,T,T
113,497.902,160.905,3170.384,6.799,N,T
115,47.664,1.49,25.238,5.799,Y,S
116,1502.249,1420.189,10060.729,6.737,T,T
117,783.785,2784.773,3743.03,6.691,N,T
119,193.489,132.35,1577.834,6.992,N,T
120,61.2259999999999,69.142,1514.312,7.152,N,T
121,29175.9340000001,35533.397,71133.754,5.457,T,T
122,917.894,456.808000000001,5951.115,7.356,N,T
123,458.508,795.459,3322.887,6.875,N,T
125,1996.574,595.934,4455.216,7.062,N,T
126,567.475,1456.927,3837.009,5.512,Y,S
127,302.125,303.789,1019.723,5.934,Y,S
129,29312.0019999998,34469.638,71243.6389999999,5.451,T,T
131,173.353,62.505,1304.662,6.827,N,T
132,135.086,7.578,71.38,5.768,Y,S
133,146.692,6.196,122.402,6.251,Y,S
136,1416.93,1516.473,7394.219,5.948,T,T
140,936.84,705.523,6160.412,7.271,N,T
144,1071.642,805.832,1295.202,5.829,Y,S
146,973.619,86.528,8887.951,14.941,T,S
147,1934.18,122.483,10551.436,19.808,T,S
148,130.935,44.823,1524.924,5.861,Y,S
149,8.108,1.449,46.902,6.095,Y,S
150,26.829,1.328,25.903,5.735,Y,S
151,151.325,55.587,1714.348,6.444,Y,S
152,10.985,1.31,27.397,6.173,Y,S
153,481.249,185.448,2732.057,6.311,Y,S
154,92.555,155.427,341.186,5.778,T,S
155,1014.799,1551.081,16979.94,6.01,Y,S
156,615.752999999999,598.316,2106.043,5.456,Y,S
157,226.372,159.865,1739.742,5.611,Y,S
158,120.698,110.938,1906.948,5.982,Y,S
160,13.5,1.363,53.528,16.563,Y,S
161,1781.562,897.102,28703.374,6.614,T,T
163,19.815,1.337,30.011,6.6,Y,S
164,324.562,234.07,1777.155,5.852,Y,S
165,26.866,1.383,25.619,5.576,Y,S
166,290.655,114.02,1959.139,7.3,Y,S
167,46.223,25.478,548.343,5.996,Y,S
168,83.368,1.579,28.897,6.441,Y,S
169,356.985,2103.829,3362.951,6.663,T,T
170,4098.16600000001,5518.03399999999,51489.0940000001,5.577,T,T
171,147.937,118.232,550.982,6.053,Y,S
,262043.538,283258.619,2258749.06,859.301,,
,262.043538,283.258619,2258.74906,0.859301,2804.910518,
,107.793813,127.296133,1014.072349,0.551049,1249.713344,
