example,time_sampling,time_training,time_Z3,result,lastPhase,
0,255.114,117.422,3846.062,7.43,N,T
1,197.955,122.472,1128.241,5.777,Y,S
2,590.44,860.276,2433.445,5.496,Y,S
4,2352.566,1005.167,40378.689,7.612,T,T
6,1765.514,2802.554,15499.926,5.944,T,T
7,3967.009,2093.826,7409.097,5.828,T,T
8,20058.569,10430.695,11587.913,5.97,T,T
9,497.046,807.017,3267.227,6.843,N,T
10,333.335,166.268,5467.56,7.33,N,T
11,6122.221,12857.384,6088.953,7.163,N,T
12,464.937,297.82,2774.964,6.833,N,T
13,299.261,762.176,1551.038,6.656,N,T
15,2745.712,1334.864,22169.774,5.784,T,T
21,581.905,1156.289,5244.242,5.775,T,T
22,997.513999999995,2723.901,8290.72399999999,5.744,T,T
23,984.500999999999,2705.266,8373.30800000001,5.885,T,T
24,422.719000000001,973.329,5977.286,6.811,T,T
25,4172.534,2134.797,24379.026,5.69,T,T
26,3993.57600000001,2117.402,23984.611,5.748,T,T
27,10616.8080000001,8445.05599999997,199487.435,5.974,T,T
29,91.154,6.668,65.855,5.748,Y,S
30,107.453,33.837,543.549,5.693,Y,S
31,2401.485,3225.962,8577.804,6.577,T,T
32,5646.413,8393.52899999999,24901.3139999999,5.351,T,T
34,16174.999,12999.134,72365.0329999999,5.439,T,T
35,493.719999999999,363.33,4027.146,7.16,N,T
36,49.047,1.498,25.299,5.85,Y,S
38,2917.36299999998,4377.505,52987.9100000001,6.003,T,T
39,197.743,35.389,49169.094,9.535,N,T
40,680.079,190.265,6855.052,8.134,N,T
42,701.427000000001,792.297999999999,5440.124,8.224,N,T
43,700.149000000001,797.164,5099.616,7.983,N,T
46,2483.448,2597.292,7855.641,6.02,T,T
47,1144.2,372.148,7630.88,8.095,N,T
48,580.611,201.208,5938.709,7.346,N,T
49,482.13,1170.671,3627.2,6.856,N,T
50,77.661,85.686,2515.655,5.955,T,T
51,504.161,827.617,2744.022,5.369,Y,S
52,82.788,1.709,26.08,5.311,Y,S
53,496.885,718.675,4141.881,7.016,N,T
55,408.928,95.133,1595.356,5.847,Y,S
57,338.957,53.888,457.758,5.677,Y,S
58,6.195,1.225,23.837,5.648,Y,S
59,308.389,1728.129,1725.558,6.848,N,T
60,923.283,734.245,5775.651,7.27,N,T
61,145.208,2.711,29.054,5.701,Y,S
62,80.857,225.172,500.854,5.946,T,V
63,868.677000000001,389.79,5701.971,7.476,N,T
65,2219.642,1958.461,11792.937,8.584,N,T
66,525.590000000001,680.272,2956.683,5.544,Y,S
67,1516.82,1275.508,5657.102,5.709,Y,S
68,2060.88,1467,26020.693,5.874,T,T
70,376.421,198.052,5951.232,7.379,N,T
71,420.779,256.507,8024.123,5.766,T,T
