example,time_sampling,time_training,time_Z3,result,lastPhase
0,264.868,408.441,1091.897,Y,S
1,334.206,556.12,2118.112,T,T
2,281.152,173.752,716.039,T,T
3,179.795,95.496,899.84,Y,S
4,179.184,94.742,865.962,Y,S
5,141.14,117.217,666.654,T,T
6,157.358,119.627,662.729,T,T
7,0,0,0,N,S
8,127.859,80.063,702.03,Y,S
9,212.419,149.014,1427.751,Y,S
10,263.965,143.173,860.643,Y,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
14,0,0,0,N,S
15,0,0,0,N,S
16,140.15,125.514,698.138,T,T
17,245.881,785.722,1089.201,T,T
18,242.133,348.781,1094.115,Y,S
19,455.185,646.151,2130.605,T,T
20,56.842,81.452,609.655,Y,S
21,216.716,440.582,1217.576,Y,S
22,19.531,0.857,13.615,Y,S
23,434.655,555.265,3397.549,T,T
24,0,0,0,N,S
25,230.697,193.101,1113.569,Y,S
26,0,0,0,N,S
27,0,0,0,N,S
28,243.127,271.917,1116.932,Y,S
29,0,0,0,N,S
30,675.942000000001,634.18,3440.436,T,T
31,844.76,504.846,3572.268,T,T
32,355.613,242.905,2321.912,Y,S
33,130.258,85.816,718.115,T,T
34,141.245,108.051,671.587,T,T
35,142.528,586.376,1244.112,T,T
36,0,0,0,N,S
37,0,0,0,T,S
38,393.666,319.019,2126.003,T,T
39,153.601,611.169,1208.083,T,T
40,0,0,0,N,S
41,1027.47,1181.324,2847.588,T,T
42,607.003,680.572,2389.847,T,T
43,560.774,986.224,3331.499,T,T
44,748.152999999999,1266.011,1979.215,T,T
45,194.128,643.723,1035.934,T,T
46,0,0,0,N,S
47,249.989,797.603,1061.949,T,T
48,0,0,0,N,S
49,91.913,50.579,889.661,T,T
50,280.599,186.961,933.436,Y,S
51,312.988,513.478999999999,2140.64,T,T
52,871.471,902.102000000001,3405.708,T,T
53,248.506,795.722,1058.331,T,T
54,489.358,364.42,3161.663,T,T
55,245.277,59.418,773.346,Y,S
56,442.542,245.566,2842.224,T,T
57,427.64,374.788,2127.148,T,T
58,42.545,0.901,15.275,Y,S
59,73.887,22.218,599.694,Y,S
60,219.636,347.918,1078.252,Y,S
61,1106.579,505.932,2632.948,T,T
62,323.642,410.721,2484.848,T,T
63,182.135,651.649,1023.671,T,T
64,257.426,808.407,1058.333,T,T
65,246.449,374.808,2093.122,T,T
66,760.060999999999,1253.206,2471.403,T,T
67,171.59,569.014,1104.5,T,T
68,186.386,659.555,1007.977,T,T
69,0,0,0,N,S
70,245.819,808.01,1053.057,T,T
71,415.343,351.748,2167.102,T,T
72,272.43,278.31,1446.576,Y,S
73,163.756,198.029,742.524,Y,S
74,282.385,198.146,897.89,Y,S
75,277.714,261.107,2285.663,Y,S
76,178.728,202.044,573.621,Y,S
77,177.895,160.712,653.327,Y,S
78,147.182,55.145,572.69,Y,S
79,170.87,184.09,557.271,Y,S
80,282.866,141.981,850.509,Y,S
81,19.326,0.844,13.465,Y,S
82,322.93,280.818,1907.54,Y,S
83,453.491,163.576,3395.449,T,T
84,33.484,0.932,17.551,Y,S
85,64.592,1.336,17.675,Y,S
86,23.926,0.945,12.406,Y,S
87,78.269,241.837,1544.999,T,T
88,155.133,535.267,1185.682,T,T
89,0,0,0,T,S
90,0,0,0,N,S
91,24.915,0.949,12.966,Y,S
92,22.475,0.908,12.647,Y,S
93,90.4130000000001,270.112,1222.227,T,T
94,186.674,656.091,1013.381,T,T
95,0,0,0,N,S
96,0,0,0,N,S
97,253.918,808.93,1056.777,T,T
