example,time_sampling,time_training,time_Z3,result,lastPhase
0,591.481,852.443,2440.822,5.505,Y,S
1,4383.24499999999,5150.11400000001,35525.1560000001,5.451,T,T
2,1177.838,502.264,22398.929,6.108,T,T
3,391.994,193.968,1757.242,5.851,Y,S
4,381.85,193.177,1722.649,5.695,Y,S
5,607.927,326.613,29298.483,5.731,Y,S
6,611.113,329.748,29178.083,5.89,Y,T
7,0,0,0,7.111,N,S
8,253.64,157.908,1385.193,5.746,Y,S
9,448.913,288.187,2783.356,5.568,Y,S
10,504.303,281.138,1614.067,5.489,Y,S
11,0,0,0,6.905,N,S
12,0,0,0,6.846,N,S
13,0,0,0,6.884,N,S
14,0,0,0,6.988,N,S
15,977.461000000001,2717.525,8229.523,5.742,T,T
16,552.753,727.574,2437.829,5.478,Y,S
17,2673.747,3518.681,36661.5790000001,5.465,T,T
18,133.173,162.969,1220.64,5.629,Y,S
19,458.586,958.602,2829.613,5.552,Y,S
20,39.368,1.411,26.963,5.527,Y,S
21,924.118000000001,1342.385,8866.18499999999,5.872,T,T
22,0,0,0,7.332,N,S
23,506.520999999999,401.485,2481.299,5.552,Y,S
24,0,0,0,7.242,N,S
25,0,0,0,6.868,N,S
26,528.446,569.816,2431.427,5.359,Y,S
27,0,0,0,7.259,N,S
28,7515.44700000002,4943.575,48432.879,5.802,Y,S
29,788.220000000001,578.691,5835.60999999999,5.739,Y,S
30,787.194,302.886,24747.031,5.759,Y,S
31,328.453,1105.416,3311.846,6.779,T,T
32,0,0,0,7.981,N,S
33,0,0,0,0,T,S
34,920.529999999998,668.308,5436.589,6.374,T,T
35,346.767999999999,1249.63,3057.771,6.583,T,T
36,0,0,0,7.759,N,S
37,468.013,114.876,1534.458,5.656,Y,S
38,3515.761,4796.32500000001,36145.675,5.657,T,T
39,4021.61600000001,4928.70600000001,30873.042,6.391,T,T
40,3821.21300000002,5090.409,67620.8070000001,5.494,T,T
41,979.65,2712.089,8351.56299999999,5.788,T,T
42,1847.14,1388.397,10407.537,5.604,Y,S
43,3284.453,4273.75999999999,25488.631,5.512,T,T
44,818.766999999998,2448.599,8199.761,5.812,T,T
45,308.283,108.58,1136.421,7.456,Y,S
46,811.296000000002,2410.638,8209.005,5.765,T,T
47,0,0,0,7.667,N,S
48,960.605000000004,2801.236,8276.936,5.677,T,T
49,0,0,0,8.757,N,S
50,571.747,378.352,1842.821,5.505,Y,S
51,4558.439,5041.48799999999,35524.81,5.562,T,T
52,17754.0639999999,14705.236,122640.032,5.639,T,T
53,2902.821,1843.839,50202.154,5.72,T,T
54,82.462,1.564,31.156,6.453,Y,S
55,147.284,44.504,1154.602,7.493,Y,S
56,471.371,734.289,2457.992,5.469,Y,S
57,2666.326,1339.54,22723.115,5.485,T,T
58,4719.635,5594.817,53024.797,5.615,T,T
59,991.764999999995,2758.58900000001,8249.03599999999,5.665,T,T
60,560.490000000001,846.317,5560.611,6.157,T,T
61,6416.31700000002,8252.984,52630.1360000001,5.401,T,T
62,797.193999999999,2287.151,8480.535,5.814,T,T
63,832.428999999997,2457.347,8068.07100000001,5.679,T,T
64,0,0,0,6.918,N,S
65,990.110999999998,2755.271,8277.21199999999,5.736,T,T
66,1183.276,1036.763,13173.448,6.381,T,T
67,514.122000000001,534.269,2791.516,5.389,Y,S
68,420.859,430.61,2052.164,5.486,Y,S
69,567.974000000001,413.406,1805.058,5.604,Y,S
70,643.951000000001,582.452,5636.839,5.649,Y,S
71,319.77,403.282,1139.726,5.51,Y,S
72,498.869,536.846,2389.759,5.408,Y,S
73,334.829,372.743,1137.864,5.557,Y,S
74,511.303,282.998,1630.676,5.485,Y,S
75,39.219,1.505,27.785,5.558,Y,S
76,769.79,678.065,4717.117,5.764,Y,S
77,1459.652,632.551000000001,33014.875,6.668,T,T
78,65.75,1.649,35.246,5.765,Y,S
79,129.859,2.343,35.009,5.768,Y,S
80,50.457,1.708,25.173,5.88,Y,S
81,180.923,618.305,4023.776,7.014,T,T
82,345.995999999999,1097.4,2961.674,6.526,T,T
83,0,0,0,0,T,S
84,0,0,0,7.574,N,S
85,48.073,1.645,25.326,5.777,Y,S
86,44.182,1.608,24.722,5.729,Y,S
87,207.962,559.454,3051.683,6.536,T,T
88,42.47,1.565,24.859,5.763,Y,S
89,0,0,0,7.707,N,S
90,0,0,0,7.707,N,S
91,995.824999999996,2759.155,8105.39199999999,5.619,T,T
