example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,N,S
1,100.477,62.578,573.132,Y,S
2,273.819,406.313,1077.386,Y,S
4,708.133,307.168,4225.503,T,T
6,702.091999999999,1071.927,2915.46,T,T
7,535.098,604.205,720.836,T,T
8,1246.133,1397.603,901.529,T,T
9,0,0,0,N,S
10,0,0,0,N,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
15,659.003,433.281,691.649,T,T
21,257.758,487.605,2036.761,T,T
22,250.829,796.529,1090.064,T,T
23,249.98,788.614,1095.604,T,T
24,197.248,411.113,2350.376,T,T
25,1526.788,735.137,3070.96,T,T
26,1243.333,773.476,2578.613,T,T
27,1535.701,1192.869,4177.258,T,T
29,44.704,3.536,33.912,Y,S
30,52.126,16.413,273.401,Y,S
31,1129.819,1218.29,3050.622,T,T
32,493.324,620.979,2073.405,T,T
34,864.823,641.316,3159.21,T,T
35,0,0,0,N,S
36,24.409,0.876,12.99,Y,S
38,215.477,314.335,2554.255,T,T
39,0,0,0,N,S
40,0,0,0,N,S
42,0,0,0,N,S
43,0,0,0,N,S
46,494.085,626.156,730.07,T,T
47,0,0,0,N,S
48,0,0,0,N,S
49,0,0,0,N,S
50,34.35,36.176,1018.583,T,T
51,226.936,364.304,1168.966,Y,S
52,39.741,0.965,13.296,Y,S
53,0,0,0,N,S
55,214.67,48.689,792.682,Y,S
57,162.813,26.586,231.86,Y,S
58,3.079,0.769,12.028,Y,S
59,0,0,0,N,S
60,0,0,0,N,S
61,76.48,1.515,14.526,Y,S
62,76.368,225.172,497.701,T,S
63,0,0,0,N,S
65,0,0,0,N,S
66,246.914,306.998,1247.373,Y,S
67,695.722,539.754,2223.707,Y,S
68,798.263000000001,499.491,3559.08,T,T
70,0,0,0,N,S
71,190.168,110.025,3098.207,T,T
72,266.317,400.231,1444.943,Y,S
73,643.348,105.851,457.473,Y,S
74,411.971,371.452,2146.07,T,T
75,171.215,567.912,1092.024,T,T
78,246.004,284.709,2522.963,T,T
79,0,0,0,N,S
80,189.101,238.045,2279.917,T,T
81,248.865,575.857,1670.102,T,T
82,693.571,1047.861,2426.075,T,T
83,236.4,121.3,541.977,Y,S
84,153.658,460.93,1048.931,T,T
85,936.533,662.168,3397.045,T,T
86,657.634,720.851,2243.408,T,T
87,0,0,0,N,S
88,499.049,564.508,2084.796,T,T
89,0,0,0,N,S
90,0,0,0,N,S
93,317.292,448.651,1985.116,T,T
94,271.893,316.082,1813.783,T,T
95,0,0,0,N,S
96,231.657,336.242,2539.757,T,T
97,261.536,620.280000000001,1994.285,T,T
98,351.924,362.655,3449.194,T,T
99,962.803999999999,620.694,3106.337,T,T
100,554.787000000001,525.528,4796.204,T,T
101,690.402999999999,160.839,2507.415,T,T
102,359.208,487.689,2500.059,T,T
103,227.663,332.096999999999,2518.781,T,T
104,197.272,115.969,3005.301,T,T
105,357.742,574.146,1748.801,T,T
106,194.478,298.375,2512.619,T,T
107,793.166,837.183000000001,4944.112,T,T
108,265.206,343.469,3091.98,T,T
109,228.089,288.449,2082.054,T,T
112,92.0880000000001,396.005,976.497,T,T
113,0,0,0,N,S
115,23.946,0.878,12.773,Y,S
116,676.143,605.14,3853.318,T,T
117,0,0,0,N,S
119,0,0,0,N,S
120,0,0,0,N,S
121,1359.414,1278.34,3111.085,T,T
122,0,0,0,N,S
123,0,0,0,N,S
125,0,0,0,N,S
126,255.013,687.316,1737.574,T,T
127,140.442,148.085,514.815,Y,S
129,1268.694,1000.102,3091.11,T,T
131,0,0,0,N,S
132,66.783,3.74,35.544,Y,S
133,77.483,3.287,61.883,Y,S
136,585.013,652.145,2872.855,T,T
140,0,0,0,N,S
144,468.783,373.748,516.59,Y,S
146,924.393,63.781,6189.703,T,S
147,1797.128,99.566,7222.674,T,S
148,58.986,22.716,768.893,Y,S
149,4.246,0.857,23.799,Y,S
150,12.78,0.778,13.153,Y,S
151,76.925,27.812,853.281,Y,S
152,5.478,0.78,13.902,Y,S
153,233.461,94.303,1388.707,Y,S
154,93.946,153.935,347.912,T,S
155,279.634,380.009,3290.647,T,T
156,253.195,290.833,949.726,Y,S
157,104.288,72.891,846.257,Y,S
158,54.219,55.858,968.912,Y,S
160,7.056,0.795,27.148,Y,S
161,682.222000000001,367.106999999999,4823.957,T,T
163,9.502,0.796,15.245,Y,S
164,163.517,111.963,897.405,Y,S
165,12.492,0.801,12.719,Y,S
166,147.366,59.632,982.348,Y,S
167,23.707,13.711,281.782,Y,S
168,43.557,0.919,14.537,Y,S
169,152.574,904.605,1332.86,T,T
170,215.134,324.852,2459.779,T,T
171,69.32,58.484,275.808,Y,S
