0.bpl.log,N
1.bpl.log,Y
10.bpl.log,N
100.bpl.log,U
101.bpl.log,U
102.bpl.log,U
103.bpl.log,U
104.bpl.log,U
105.bpl.log,U
106.bpl.log,U
107.bpl.log,U
108.bpl.log,U
109.bpl.log,U
11.bpl.log,N
112.bpl.log,U
113.bpl.log,N
115.bpl.log,Y
116.bpl.log,U
117.bpl.log,N
12.bpl.log,N
120.bpl.log,N
121.bpl.log,U
122.bpl.log,N
123.bpl.log,N
125.bpl.log,N
126.bpl.log,U
127.bpl.log,Y
129.bpl.log,U
13.bpl.log,N
131.bpl.log,N
132.bpl.log,Y
133.bpl.log,Y
136.bpl.log,U
140.bpl.log,N
144.bpl.log,U
146.bpl.log,U
147.bpl.log,U
148.bpl.log,Y
15.bpl.log,U
150.bpl.log,Y
151.bpl.log,Y
152.bpl.log,U
153.bpl.log,Y
154.bpl.log,U
155.bpl.log,U
156.bpl.log,U
157.bpl.log,Y
158.bpl.log,Y
159.bpl.log,Y
160.bpl.log,Y
161.bpl.log,U
162.bpl.log,Y
163.bpl.log,Y
164.bpl.log,Y
165.bpl.log,Y
166.bpl.log,Y
167.bpl.log,Y
169.bpl.log,U
170.bpl.log,U
171.bpl.log,Y
2.bpl.log,U
21.bpl.log,U
22.bpl.log,U
23.bpl.log,U
24.bpl.log,U
25.bpl.log,U
26.bpl.log,U
27.bpl.log,U
29.bpl.log,Y
30.bpl.log,Y
31.bpl.log,U
32.bpl.log,U
34.bpl.log,U
35.bpl.log,N
36.bpl.log,Y
38.bpl.log,U
119.bpl.log,N
149.bpl.log,Y
168.bpl.log,Y
39.bpl.log,N
62.bpl.log,U
83.bpl.log,Y
4.bpl.log,U
40.bpl.log,N
42.bpl.log,N
43.bpl.log,N
46.bpl.log,U
47.bpl.log,N
48.bpl.log,N
49.bpl.log,N
50.bpl.log,U
51.bpl.log,U
52.bpl.log,Y
53.bpl.log,N
55.bpl.log,Y
57.bpl.log,Y
58.bpl.log,Y
59.bpl.log,N
6.bpl.log,U
60.bpl.log,N
61.bpl.log,Y
63.bpl.log,N
65.bpl.log,N
66.bpl.log,U
67.bpl.log,U
68.bpl.log,U
7.bpl.log,U
70.bpl.log,N
71.bpl.log,U
72.bpl.log,U
73.bpl.log,U
74.bpl.log,U
75.bpl.log,U
78.bpl.log,U
79.bpl.log,N
8.bpl.log,U
80.bpl.log,U
81.bpl.log,U
82.bpl.log,U
84.bpl.log,U
85.bpl.log,U
86.bpl.log,U
87.bpl.log,N
88.bpl.log,U
89.bpl.log,N
9.bpl.log,N
90.bpl.log,N
93.bpl.log,U
94.bpl.log,U
95.bpl.log,N
96.bpl.log,U
97.bpl.log,U
98.bpl.log,U
99.bpl.log,U
java_LogBuiltIn_true-termination.c.bpl.log,E
recHanoi02_true-termination.c.bpl.log,U
rec_counter1_true-termination.c.bpl.log,E
TerminatorRec02_true-termination.c.bpl.log,U
TwoWay_true-termination.c.bpl.log,U
