example,time_sampling,time_training,time_Z3,result,lastPhase,
0,594.583000000001,854.619,2444.612,100.705,Y,S
1,4165.34500000001,5347.028,35625.906,2066.636,T,T
2,1235.824,507.416,9011.941,557.445,T,T
3,382.885,193.273,1792.382,76.722,Y,S
4,377.339,194.563,1786.444,76.407,Y,S
5,397.253,324.598,29834.266,206.143,T,T
6,385.527,314.543,29667.535,206.223,T,T
7,0,0,0,23.835,N,S
8,261.8,153.242,1382.509,57.81,Y,S
9,252.205,153.613,1301.717,54.311,Y,S
10,527.395,276.738,1646.618,69.928,Y,S
11,0,0,0,22.873,N,S
12,0,0,0,23.559,N,S
13,0,0,0,22.723,N,S
14,0,0,0,22.806,N,S
15,0,0,0,22.572,N,S
16,484.462,388.928,36188.318,420.309,T,T
17,1488.327,5184.76600000001,8459.777,476.054,T,T
18,543.838,744.877,2481.286,102.29,Y,S
19,5827.19300000001,6732.03500000001,36017.6409999999,2090.639,T,T
20,118.45,164.991,1242.404,54.427,Y,S
21,463.304,960.486,2808.135,104.434,Y,S
22,39.884,1.43,26.989,20.161,Y,S
23,1116.809,1432.567,9798.10200000001,168.063,T,T
24,0,0,0,24.639,N,S
25,482.969,400.38,2508.841,105.336,Y,S
26,0,0,0,23.966,N,S
27,0,0,0,22.691,N,S
28,529.397000000001,600.427,2425.037,99.91,Y,S
29,0,0,0,24.448,N,S
30,1683.874,1397.507,10391.331,414.553,Y,S
31,4572.79700000002,2492.121,48338.11,2275.576,Y,S
32,788.871,578.085,5951.087,206.922,Y,S
33,483.606,332.609,43167.498,411.535,T,T
34,412.628,310.155,26989.8,236.258,Y,T
35,329.508,1109.526,3181.813,79.707,T,T
36,0,0,0,24.361,N,S
37,0,0,0,0,T,S
38,871.084,661.183,5512.674,130.693,T,T
39,348.096,1242.137,3130.257,79.861,T,T
40,0,0,0,26.402,N,S
41,4650.60700000001,7168.091,35435.413,1038.734,T,T
42,3587.12,4718.86900000001,30366.281,1590.108,T,T
43,7596.977,12839.535,66353.598,3058.585,T,T
44,6250.674,10546.64,24761.994,1315.485,T,T
45,1336.051,4926.85100000001,8163.402,482.796,T,T
46,0,0,0,24.409,N,S
47,1473.46,5232.37599999999,8194.47799999999,479.777,T,T
48,0,0,0,30.285,N,S
49,342.788,190.596,9297.948,622.632,T,T
50,551.956,371.518,1877.474,71.878,Y,S
51,4121.91000000001,5236.58900000001,36215.543,2106.284,T,T
52,11523.999,9928.192,121719.71,6552.664,T,T
53,3385.75100000001,2447.055,49921.3419999999,2396.697,T,T
54,1495.374,5227.82599999999,8257.80599999999,484.918,T,T
55,2544.396,2354.912,83144.4349999999,3584.266,T,T
56,468.946,116.545,1546.138,73.384,Y,S
57,79.819,1.59,30.046,23.451,Y,S
58,519.975000000001,542.657,2803.594,108.626,Y,S
59,150.955,44.797,1201.46,79.682,Y,S
60,452.653,736.433,2435.711,101.574,Y,S
61,2590.967,1352.638,22968.313,469.697,T,T
62,5375.41000000002,7323.76399999996,52377.2110000001,3122.41,T,T
63,1337.82400000001,5035.73500000001,8103.133,474.263,T,T
64,1537.97299999999,5322.677,8102.42600000001,467.835,T,T
65,573.922,840.435000000001,5521.399,128.225,T,T
66,7823.05700000004,12580.207,51244.833,3025.35,T,T
67,805.950999999996,2315.865,8311.871,477.302,T,T
68,1355.057,5031.794,8090.44,472.645,T,T
69,0,0,0,22.914,N,S
70,1522.48399999999,5349.674,8245.98600000001,479.562,T,T
71,1382.411,1350.838,13332.502,521.884,T,T
72,1127.569,1044.048,13329.823,516.604,T,T
73,430.823,463.396,2124.549,80.358,Y,S
74,549.265,454.889,1982.065,72.006,Y,S
75,648.870000000001,580.472,5718.449,200.975,Y,S
76,331.411999999999,404.013,1143.515,53.433,Y,S
77,584.569999999999,637.697,2960.681,127.584,Y,S
78,311.726,109.226,1154.48,76.944,Y,S
79,321.391,371.46,1124.452,54.208,Y,S
80,551.641,277.423,1624.992,69.88,Y,S
81,37.608,1.562,26.772,20.129,Y,S
82,750.591000000002,665.178,4660.394,183.689,Y,S
83,1609.281,621.699,32290.671,1240.457,T,T
84,66.639,1.703,35.706,21.047,Y,S
85,131.306,2.392,35.247,21.084,Y,S
86,51.159,1.722,25.518,20.26,Y,S
87,175.874,619.011,4045.413,99.524,T,T
88,348.833,1098.431,3040.453,78.193,T,T
89,0,0,0,0,T,S
90,0,0,0,24.427,N,S
91,48.378,1.679,24.588,19.558,Y,S
92,45.777,1.654,25.655,20.049,Y,S
93,207.852,559.810000000001,3102.371,79.552,T,T
94,1346.514,5042.038,8389.748,496.672,T,T
95,0,0,0,24.496,N,S
96,0,0,0,24.621,N,S
97,1517.63,5339.17700000001,8088.312,468.943,T,T
,115198.429,170487.222,1136091.371,49216.948,,
,115.198429,170.487222,1136.091371,49.216948,1470.99397,
