example,time_sampling,time_training,time_Z3,result,lastPhase
0,0,0,0,N,S
1,106.667,74.506,692.303,Y,S
2,258.984,343.007,1121.351,Y,S
4,696.377,283.581,3932.838,T,T
6,753.91,1024.387,3495.622,T,T
7,4946.502,2463.478,5339.479,T,T
8,15037.276,6120.783,8592.807,T,T
9,0,0,0,N,S
10,0,0,0,N,S
11,0,0,0,N,S
12,0,0,0,N,S
13,0,0,0,N,S
15,7123.131,3807.659,5479.043,T,T
21,281.6,430.391,2179.184,T,T
22,272.252,715.555,1292.273,T,T
23,231.946,642.158,1193.429,T,T
24,191.812,349.077,2236.468,T,T
25,1651.394,645.637,3018.29,T,T
26,1607.786,661.477,3042.344,T,T
27,1525.496,988.694,4179.445,T,T
29,317.357,94.156,1145.036,Y,S
30,52.828,21.737,291.078,Y,S
31,7874.607,5025.341,7883.794,T,T
32,527.664,534.437,2193.382,T,T
34,855.537,551.442,3124.858,T,T
35,0,0,0,N,S
36,25.617,1.067,14.38,Y,S
38,221.862,313.128,2604.114,T,T
39,0,0,0,N,S
40,0,0,0,N,S
42,0,0,0,N,S
43,0,0,0,N,S
46,2639.225,1765.014,4390.253,T,T
47,0,0,0,N,S
48,0,0,0,N,S
49,0,0,0,N,S
50,37.707,53.599,1033.601,T,T
51,209.27,312.188,1201.257,Y,S
52,42.208,1.165,14.578,Y,S
53,0,0,0,N,S
55,197.254,60.998,858.853,Y,S
57,180.097,29.251,263.539,Y,S
58,3.303,0.931,12.518,Y,S
59,0,0,0,N,S
60,0,0,0,N,S
61,75.613,1.573,15.498,Y,S
62,84.47,203.438,571.446,T,S
63,0,0,0,N,S
65,0,0,0,N,S
66,300.004,345.183,1734.109,Y,S
67,787.998,529.97,2648.496,Y,S
68,884.693,477.257,3735.565,T,T
70,0,0,0,N,S
71,229.939,156.236,3339.786,T,T
72,360.727,416.462,1842.795,Y,S
73,3858.053,1648.916,3809.323,Y,S
74,496.474,408.569,2813.59,T,T
75,301.289,757.808,2146.701,T,T
78,342.893,337.064,3125.052,T,T
79,0,0,0,N,S
80,195.646,251.037,2384.935,T,T
81,275.187,503.767,1733.927,T,T
82,637.569,875.565,2504.938,T,T
83,222.193,109.725,585.7,Y,S
84,164.852,412.404,1255.456,T,T
85,1130.367,655.258,3733.275,T,T
86,661.081,688.632,2570.21,T,T
87,0,0,0,N,S
88,617.156,586.633,2567.986,T,T
89,0,0,0,N,S
90,0,0,0,N,S
93,321.006,401.712,2034.492,T,T
94,277.775,293.429,1898.67,T,T
95,0,0,0,N,S
96,256.531,400.227,3369.574,T,T
97,257.553,515.834,1979.541,T,T
98,391.473,384.281,3702.031,T,T
99,1045.971,599.529,3366.802,T,T
100,819.518,721.488000000001,7062.75400000001,T,T
101,987.538,244.112,3592.763,T,T
102,528.952,659.606,4263.098,T,T
103,355.927,483.489,4339.695,T,T
104,312.224,203.997,4374.93,T,T
105,532.364000000001,691.39,2841.154,T,T
107,1083.712,1071.775,7311.322,T,T
108,372.022,434.672,4393.568,T,T
109,241.05,317.942,2435.241,T,T
112,121.334,375.395,1238.042,T,T
113,0,0,0,N,S
115,25.765,1.39,15.609,Y,S
116,697.671999999999,566.567,3914.438,T,T
117,0,0,0,N,S
119,0,0,0,N,S
120,0,0,0,N,S
121,1411.572,1103.542,3277.579,T,T
122,0,0,0,N,S
123,0,0,0,N,S
125,0,0,0,N,S
126,337.331,733.496,2713.782,T,T
127,156.057,140.156,603.564,Y,S
129,1319.318,893.609,3332.217,T,T
131,0,0,0,N,S
132,70.793,1.338,15.766,Y,S
133,73.794,1.318,17.233,Y,S
136,598.324,557.066,3070.553,T,T
140,0,0,0,N,S
144,2192.603,953.911,2394.015,Y,S
146,976.058,94.04,8790.505,T,S
147,1736.738,137.965,8801.431,T,S
148,114.959,55.839,1556.461,Y,S
149,4.967,1.078,28.744,Y,S
150,18.772,1.196,21.78,Y,S
151,80.241,40.041,1005.506,Y,S
152,7.983,1.729,22.868,Y,S
153,234.805,113.921,1712.84,Y,S
154,95.162,127.251,366.942,T,S
155,261.58,348.297,3426.828,T,T
156,246.404,253.626,1002.624,Y,S
157,104.093,78.483,917.190999999999,Y,S
158,54.682,60.217,1016.556,Y,S
160,7.29,0.98,28.44,Y,S
161,459.226,216.659,1858.782,Y,S
163,10.69,1.018,53.102,Y,S
164,167.179,130.684,1068.99,Y,S
165,13.191,0.987,14.376,Y,S
166,149.814,79.65,1097.975,Y,S
167,25.835,20.8,331.241,Y,S
168,42.243,1.276,17.418,Y,S
169,171.406,786.904,1384.534,T,T
170,243.073,348.15,2874.266,T,T
171,76.428,56.985,322.585,Y,S
