Time For ../C_Boogies/PastaC7_false-no-overflow,197.457
Time For ../C_Boogies/PodelskiRybalchenko-TACAS2011-Fig1,102.223
Time For ../C_Boogies/Sunset,5038.945
Time For ../C_Boogies/TrueDiv_false-no-overflow_false-termination,4655.713
Time For ../C_Boogies/Urban-WST2013-Fig1,25.441
Time For ../C_Boogies/Waldkirch,97.636
Time For ../C_Boogies/WhileDecr,96.647
Time For ../C_Boogies/WhileIncr_false-no-overflow_false-termination,15667.217
Time For ../C_Boogies/WhileIncrPart_false-no-overflow_false-termination,4038.168
Time For ../C_Boogies/WhilePart,25.488
Time For ../C_Boogies/WhileSingle,25.632
Time For ../C_Boogies/WhileTrueInc_false-no-overflow_false-termination,15802.88
,1504450.868
