0,781 ,
100,300009 ,
101,9461 ,
102,63232 ,
103,61711 ,
104,9570 ,
105,12617 ,
106,62307 ,
107,240203 ,
108,39165 ,
109,45448 ,
10,798 ,
112,4441 ,
113,804 ,
115,892 ,
116,13904 ,
117,784 ,
119,768 ,
11,778 ,
120,773 ,
121,142295 ,
122,777 ,
123,778 ,
125,805 ,
126,7145 ,
127,2477 ,
129,137818 ,
12,774 ,
131,787 ,
132,1008 ,
133,1070 ,
136,11510 ,
13,773 ,
140,772 ,
144,3936 ,
146,300010 ,
147,300009 ,
148,2578 ,
149,856 ,
150,853 ,
151,2769 ,
152,844 ,
153,4445 ,
154,5456 ,
155,20701 ,
156,4216 ,
157,2994 ,
158,3038 ,
159,4775 ,
15,27187 ,
160,949 ,
161,29217 ,
162,4791 ,
163,846 ,
164,3267 ,
165,843 ,
166,3379 ,
167,1465 ,
168,904 ,
169,6753 ,
170,64251 ,
171,1635 ,
1,2359 ,
21,7961 ,
22,13163 ,
23,13320 ,
24,8369 ,
25,33114 ,
26,13433 ,
27,224273 ,
29,977 ,
2,4795 ,
30,1518 ,
31,15828 ,
32,40507 ,
34,102661 ,
35,786 ,
36,855 ,
38,63763 ,
39,791 ,
40,794 ,
42,816 ,
43,781 ,
46,14095 ,
47,779 ,
48,791 ,
49,772 ,
4,45940 ,
50,3507 ,
51,5063 ,
52,902 ,
53,789 ,
55,3117 ,
57,1733 ,
58,808 ,
59,777 ,
60,792 ,
61,985 ,
62,1630 ,
63,789 ,
65,772 ,
66,5312 ,
67,9773 ,
68,30472 ,
6,12835 ,
70,775 ,
71,9824 ,
72,6097 ,
73,3927 ,
74,16748 ,
75,12783 ,
78,49901 ,
79,797 ,
7,14631 ,
80,44212 ,
81,7158 ,
82,72526 ,
83,2694 ,
84,12190 ,
85,34115 ,
86,37242 ,
87,775 ,
88,32012 ,
89,781 ,
8,41418 ,
90,789 ,
93,10312 ,
94,16036 ,
95,783 ,
96,61657 ,
97,8123 ,
98,64944 ,
99,31200 ,
9,786 ,
IsTerminating.csv: 244 ,
java_LogBuiltIn_true-termination.c,397 ,
LICENSE.txt: 253 ,
README.txt: 256 ,
rec_counter1_true-termination.c,398 ,
recHanoi02_true-termination.c,261 ,
TerminatorRec02_true-termination.c,274 ,
TwoWay_true-termination.c,273 ,
